movieId,title,genres,title_lower,combined_text
6348,Breakin' 2: Electric Boogaloo (1984),Musical,breakin' 2: electric boogaloo (1984),Breakin' 2: Electric Boogaloo (1984) Musical
6349,Breakin' (1984),Drama Musical,breakin' (1984),Breakin' (1984) Drama Musical
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action Adventure Animation Children Fantasy Sci-Fi,laputa: castle in the sky (tenkû no shiro rapyuta) (1986),Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986) Action Adventure Animation Children Fantasy Sci-Fi
6351,Hysterical Blindness (2002),Drama,hysterical blindness (2002),Hysterical Blindness (2002) Drama
6352,Lambada (1990),Drama,lambada (1990),Lambada (1990) Drama
6353,Roadie (1980),Comedy Musical,roadie (1980),Roadie (1980) Comedy Musical
6354,"Carpetbaggers, The (1964)",Drama,"carpetbaggers, the (1964)","Carpetbaggers, The (1964) Drama"
6355,"Girls, Les (1957)",Musical,"girls, les (1957)","Girls, Les (1957) Musical"
6356,Gunfight at the O.K. Corral (1957),Western,gunfight at the o.k. corral (1957),Gunfight at the O.K. Corral (1957) Western
6357,High Society (1956),Comedy Musical Romance,high society (1956),High Society (1956) Comedy Musical Romance
6358,Kiss Me Kate (1953),Comedy Musical Romance,kiss me kate (1953),Kiss Me Kate (1953) Comedy Musical Romance
6365,"Matrix Reloaded, The (2003)",Action Adventure Sci-Fi Thriller IMAX,"matrix reloaded, the (2003)","Matrix Reloaded, The (2003) Action Adventure Sci-Fi Thriller IMAX"
6366,Dracula: Pages from a Virgin's Diary (2001),Horror Mystery,dracula: pages from a virgin's diary (2001),Dracula: Pages from a Virgin's Diary (2001) Horror Mystery
6367,Down with Love (2003),Comedy Romance,down with love (2003),Down with Love (2003) Comedy Romance
6368,Cinemania (2002),Documentary,cinemania (2002),Cinemania (2002) Documentary
6369,Friends and Family (2001),Comedy,friends and family (2001),Friends and Family (2001) Comedy
6370,"Spanish Apartment, The (L'auberge espagnole) (2002)",Comedy Drama Romance,"spanish apartment, the (l'auberge espagnole) (2002)","Spanish Apartment, The (L'auberge espagnole) (2002) Comedy Drama Romance"
6371,Pokémon Heroes (2003),Animation Children,pokémon heroes (2003),Pokémon Heroes (2003) Animation Children
6373,Bruce Almighty (2003),Comedy Drama Fantasy Romance,bruce almighty (2003),Bruce Almighty (2003) Comedy Drama Fantasy Romance
6374,"In-Laws, The (2003)",Comedy,"in-laws, the (2003)","In-Laws, The (2003) Comedy"
6375,Gigantic (A Tale of Two Johns) (2002),Documentary,gigantic (a tale of two johns) (2002),Gigantic (A Tale of Two Johns) (2002) Documentary
6376,Respiro (2002),Comedy Drama,respiro (2002),Respiro (2002) Comedy Drama
6377,Finding Nemo (2003),Adventure Animation Children Comedy,finding nemo (2003),Finding Nemo (2003) Adventure Animation Children Comedy
6378,"Italian Job, The (2003)",Action Crime,"italian job, the (2003)","Italian Job, The (2003) Action Crime"
6379,Wrong Turn (2003),Horror Thriller,wrong turn (2003),Wrong Turn (2003) Horror Thriller
6380,Capturing the Friedmans (2003),Documentary,capturing the friedmans (2003),Capturing the Friedmans (2003) Documentary
6381,"Three Marias, The (Três Marias, As) (2002)",Drama,"three marias, the (três marias, as) (2002)","Three Marias, The (Três Marias, As) (2002) Drama"
6382,Together (Han ni Zai Yiki) (2002),Drama,together (han ni zai yiki) (2002),Together (Han ni Zai Yiki) (2002) Drama
6383,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",Action Crime Thriller,"2 fast 2 furious (fast and the furious 2, the) (2003)","2 Fast 2 Furious (Fast and the Furious 2, The) (2003) Action Crime Thriller"
6384,Love the Hard Way (2001),Crime Drama Romance,love the hard way (2001),Love the Hard Way (2001) Crime Drama Romance
6385,Whale Rider (2002),Drama,whale rider (2002),Whale Rider (2002) Drama
6386,Nevada Smith (1966),Western,nevada smith (1966),Nevada Smith (1966) Western
6387,Once a Thief (Zong heng si hai) (1991),Action Comedy Crime Thriller,once a thief (zong heng si hai) (1991),Once a Thief (Zong heng si hai) (1991) Action Comedy Crime Thriller
6388,Regeneration (1997),Drama War,regeneration (1997),Regeneration (1997) Drama War
6390,Silk Stockings (1957),Musical,silk stockings (1957),Silk Stockings (1957) Musical
6391,Snowball Express (1972),Children Comedy,snowball express (1972),Snowball Express (1972) Children Comedy
6392,"Man Called Horse, A (1970)",Adventure Drama Western,"man called horse, a (1970)","Man Called Horse, A (1970) Adventure Drama Western"
6393,For Sale (À Vendre) (1998),Drama,for sale (à vendre) (1998),For Sale (À Vendre) (1998) Drama
6394,Big Jake (1971),Western,big jake (1971),Big Jake (1971) Western
6395,"Crazies, The (a.k.a. Code Name: Trixie) (1973)",Action Drama Horror Sci-Fi Thriller,"crazies, the (a.k.a. code name: trixie) (1973)","Crazies, The (a.k.a. Code Name: Trixie) (1973) Action Drama Horror Sci-Fi Thriller"
6396,Dementia 13 (1963),Horror Thriller,dementia 13 (1963),Dementia 13 (1963) Horror Thriller
6397,"Bizarre, Bizarre (Drôle de drame ou L'étrange aventure de Docteur Molyneux) (1937)",Comedy,"bizarre, bizarre (drôle de drame ou l'étrange aventure de docteur molyneux) (1937)","Bizarre, Bizarre (Drôle de drame ou L'étrange aventure de Docteur Molyneux) (1937) Comedy"
6398,Le Mans (1971),Action Adventure,le mans (1971),Le Mans (1971) Action Adventure
6400,Murder on a Sunday Morning (Un coupable idéal) (2001),Documentary,murder on a sunday morning (un coupable idéal) (2001),Murder on a Sunday Morning (Un coupable idéal) (2001) Documentary
6401,Rio Lobo (1970),Adventure Romance War Western,rio lobo (1970),Rio Lobo (1970) Adventure Romance War Western
6402,Siam Sunset (1999),Comedy,siam sunset (1999),Siam Sunset (1999) Comedy
6403,"Swimmer, The (1968)",Drama,"swimmer, the (1968)","Swimmer, The (1968) Drama"
6404,"White Sheik, The (Sceicco bianco, Lo) (1952)",Comedy Romance,"white sheik, the (sceicco bianco, lo) (1952)","White Sheik, The (Sceicco bianco, Lo) (1952) Comedy Romance"
6405,Treasure Island (1950),Adventure Children,treasure island (1950),Treasure Island (1950) Adventure Children
6406,Two Evil Eyes (1990),Horror,two evil eyes (1990),Two Evil Eyes (1990) Horror
6407,"Walk, Don't Run (1966)",Comedy Romance,"walk, don't run (1966)","Walk, Don't Run (1966) Comedy Romance"
6408,Animals are Beautiful People (1974),Comedy Documentary,animals are beautiful people (1974),Animals are Beautiful People (1974) Comedy Documentary
6409,Bend of the River (1952),Western,bend of the river (1952),Bend of the River (1952) Western
6410,Car Wash (1976),Comedy,car wash (1976),Car Wash (1976) Comedy
6411,Come September (1961),Comedy,come september (1961),Come September (1961) Comedy
6412,Destry Rides Again (1939),Comedy Western,destry rides again (1939),Destry Rides Again (1939) Comedy Western
6413,"Electric Horseman, The (1979)",Comedy Western,"electric horseman, the (1979)","Electric Horseman, The (1979) Comedy Western"
6414,Gay Purr-ee (1962),Animation Children Musical,gay purr-ee (1962),Gay Purr-ee (1962) Animation Children Musical
6415,Intervista (1987),Comedy Drama,intervista (1987),Intervista (1987) Comedy Drama
6416,King Rat (1965),Drama War,king rat (1965),King Rat (1965) Drama War
6417,Live Wire (1992),Action,live wire (1992),Live Wire (1992) Action
6419,Mr. & Mrs. Bridge (1990),Drama,mr. & mrs. bridge (1990),Mr. & Mrs. Bridge (1990) Drama
6420,Night Passage (1957),Western,night passage (1957),Night Passage (1957) Western
6421,"Rare Breed, The (1966)",Action Drama Romance Western,"rare breed, the (1966)","Rare Breed, The (1966) Action Drama Romance Western"
6422,Shenandoah (1965),Drama War Western,shenandoah (1965),Shenandoah (1965) Drama War Western
6423,Straight Talk (1992),Comedy,straight talk (1992),Straight Talk (1992) Comedy
6424,Oscar (1991),Comedy Crime Mystery Romance,oscar (1991),Oscar (1991) Comedy Crime Mystery Romance
6425,"6th Man, The (Sixth Man, The) (1997)",Comedy,"6th man, the (sixth man, the) (1997)","6th Man, The (Sixth Man, The) (1997) Comedy"
6426,"Far Country, The (1954)",Western,"far country, the (1954)","Far Country, The (1954) Western"
6427,"Railway Children, The (1970)",Children Drama,"railway children, the (1970)","Railway Children, The (1970) Children Drama"
6428,Two Mules for Sister Sara (1970),Comedy War Western,two mules for sister sara (1970),Two Mules for Sister Sara (1970) Comedy War Western
6429,Winchester '73 (1950),Western,winchester '73 (1950),Winchester '73 (1950) Western
6430,Ziggy Stardust and the Spiders from Mars (1973),Documentary Musical,ziggy stardust and the spiders from mars (1973),Ziggy Stardust and the Spiders from Mars (1973) Documentary Musical
6431,Battle Cry (1955),Drama War,battle cry (1955),Battle Cry (1955) Drama War
6432,"Courtship of Eddie's Father, The (1963)",Comedy,"courtship of eddie's father, the (1963)","Courtship of Eddie's Father, The (1963) Comedy"
6433,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",Documentary,"man with the movie camera, the (chelovek s kino-apparatom) (1929)","Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929) Documentary"
6434,"Objective, Burma! (1945)",War,"objective, burma! (1945)","Objective, Burma! (1945) War"
6435,Operation Pacific (1951),Drama War,operation pacific (1951),Operation Pacific (1951) Drama War
6436,This Boy's Life (1993),Drama,this boy's life (1993),This Boy's Life (1993) Drama
6437,13 Rue Madeleine (1947),Thriller War,13 rue madeleine (1947),13 Rue Madeleine (1947) Thriller War
6438,633 Squadron (1964),Drama War,633 squadron (1964),633 Squadron (1964) Drama War
6439,Attack! (1956),Drama War,attack! (1956),Attack! (1956) Drama War
6440,Barton Fink (1991),Drama Thriller,barton fink (1991),Barton Fink (1991) Drama Thriller
6441,Battle of Britain (1969),War,battle of britain (1969),Battle of Britain (1969) War
6442,Belle époque (1992),Comedy Romance,belle époque (1992),Belle époque (1992) Comedy Romance
6443,"Big Trail, The (1930)",Adventure Romance Western,"big trail, the (1930)","Big Trail, The (1930) Adventure Romance Western"
6445,Cloak and Dagger (1946),Drama Romance,cloak and dagger (1946),Cloak and Dagger (1946) Drama Romance
6446,"Comancheros, The (1961)",Action Adventure Drama Romance,"comancheros, the (1961)","Comancheros, The (1961) Action Adventure Drama Romance"
6447,Duel at Diablo (1966),War,duel at diablo (1966),Duel at Diablo (1966) War
6448,"Flight of the Phoenix, The (1965)",Action Adventure Drama,"flight of the phoenix, the (1965)","Flight of the Phoenix, The (1965) Action Adventure Drama"
6449,From the Terrace (1960),Drama,from the terrace (1960),From the Terrace (1960) Drama
6450,"Heaven Knows, Mr. Allison (1957)",Drama War,"heaven knows, mr. allison (1957)","Heaven Knows, Mr. Allison (1957) Drama War"
6451,"Hot Rock, The (1972)",Comedy Crime,"hot rock, the (1972)","Hot Rock, The (1972) Comedy Crime"
6452,"Long, Hot Summer, The (1958)",Drama,"long, hot summer, the (1958)","Long, Hot Summer, The (1958) Drama"
6453,Man of Aran (1934),Documentary,man of aran (1934),Man of Aran (1934) Documentary
6454,Music Box (1989),Drama,music box (1989),Music Box (1989) Drama
6455,North to Alaska (1960),Comedy Western,north to alaska (1960),North to Alaska (1960) Comedy Western
6456,This Man Must Die (Que la bête meure) (1969),Crime Drama Thriller,this man must die (que la bête meure) (1969),This Man Must Die (Que la bête meure) (1969) Crime Drama Thriller
6457,Sink the Bismark! (1960),Action Drama War,sink the bismark! (1960),Sink the Bismark! (1960) Action Drama War
6458,"Blue Max, The (1966)",Adventure Drama War,"blue max, the (1966)","Blue Max, The (1966) Adventure Drama War"
6459,"Desert Fox, The (1951)",Drama War,"desert fox, the (1951)","Desert Fox, The (1951) Drama War"
6460,"Trial, The (Procès, Le) (1962)",Drama,"trial, the (procès, le) (1962)","Trial, The (Procès, Le) (1962) Drama"
6461,"Unforgiven, The (1960)",Drama Western,"unforgiven, the (1960)","Unforgiven, The (1960) Drama Western"
6462,"Undefeated, The (1969)",Western,"undefeated, the (1969)","Undefeated, The (1969) Western"
6463,Divine Trash (1998),Documentary,divine trash (1998),Divine Trash (1998) Documentary
6464,Good Burger (1997),Children Comedy,good burger (1997),Good Burger (1997) Children Comedy
6465,Jubilee (1977),Drama,jubilee (1977),Jubilee (1977) Drama
6466,Mississippi Masala (1991),Drama Romance,mississippi masala (1991),Mississippi Masala (1991) Drama Romance
6467,Quai des Orfèvres (Jenny Lamour) (1947),Crime Drama,quai des orfèvres (jenny lamour) (1947),Quai des Orfèvres (Jenny Lamour) (1947) Crime Drama
6468,"Stranger Among Us, A (1992)",Crime Drama Romance,"stranger among us, a (1992)","Stranger Among Us, A (1992) Crime Drama Romance"
6469,Cahill U.S. Marshal (Cahill: United States Marshal) (Wednesday Morning) (1973),Western,cahill u.s. marshal (cahill: united states marshal) (wednesday morning) (1973),Cahill U.S. Marshal (Cahill: United States Marshal) (Wednesday Morning) (1973) Western
6470,Chisum (1970),Western,chisum (1970),Chisum (1970) Western
6471,Defense of the Realm (1986),Thriller,defense of the realm (1986),Defense of the Realm (1986) Thriller
6472,Eat a Bowl of Tea (1989),Romance,eat a bowl of tea (1989),Eat a Bowl of Tea (1989) Romance
6473,Half Moon Street (1986),Drama Thriller,half moon street (1986),Half Moon Street (1986) Drama Thriller
6474,"Truce, The (a.k.a. La Tregua) (1996)",Drama,"truce, the (a.k.a. la tregua) (1996)","Truce, The (a.k.a. La Tregua) (1996) Drama"
6475,Opportunity Knocks (1990),Comedy,opportunity knocks (1990),Opportunity Knocks (1990) Comedy
6476,Shattered (1991),Mystery Thriller,shattered (1991),Shattered (1991) Mystery Thriller
6477,"Song of Bernadette, The (1943)",Drama,"song of bernadette, the (1943)","Song of Bernadette, The (1943) Drama"
6478,"Life and Times of Judge Roy Bean, The (1972)",Comedy Western,"life and times of judge roy bean, the (1972)","Life and Times of Judge Roy Bean, The (1972) Comedy Western"
6479,"Spirit of '76, The (1990)",Comedy Sci-Fi,"spirit of '76, the (1990)","Spirit of '76, The (1990) Comedy Sci-Fi"
6480,Thoroughly Modern Millie (1967),Comedy Musical,thoroughly modern millie (1967),Thoroughly Modern Millie (1967) Comedy Musical
6481,Where the Heart Is (1990),Comedy Drama,where the heart is (1990),Where the Heart Is (1990) Comedy Drama
6482,Dumb and Dumberer: When Harry Met Lloyd (2003),Comedy,dumb and dumberer: when harry met lloyd (2003),Dumb and Dumberer: When Harry Met Lloyd (2003) Comedy
6483,From Justin to Kelly (2003),Musical Romance,from justin to kelly (2003),From Justin to Kelly (2003) Musical Romance
6484,Hollywood Homicide (2003),Action Crime Drama,hollywood homicide (2003),Hollywood Homicide (2003) Action Crime Drama
6485,Rugrats Go Wild! (2003),Adventure Animation Children Comedy,rugrats go wild! (2003),Rugrats Go Wild! (2003) Adventure Animation Children Comedy
6486,"Hard Word, The (2002)",Comedy Crime Drama Thriller,"hard word, the (2002)","Hard Word, The (2002) Comedy Crime Drama Thriller"
6487,"Heart of Me, The (2002)",Drama Romance,"heart of me, the (2002)","Heart of Me, The (2002) Drama Romance"
6488,Jet Lag (Décalage horaire) (2002),Comedy Romance,jet lag (décalage horaire) (2002),Jet Lag (Décalage horaire) (2002) Comedy Romance
6489,"Loco Love (Mi Casa, Su Casa) (2002)",Comedy,"loco love (mi casa, su casa) (2002)","Loco Love (Mi Casa, Su Casa) (2002) Comedy"
6490,Manito (2002),Drama,manito (2002),Manito (2002) Drama
6491,No Turning Back (2001),Adventure Drama Thriller,no turning back (2001),No Turning Back (2001) Adventure Drama Thriller
6492,Tycoon (Oligarkh) (2002),Crime Drama,tycoon (oligarkh) (2002),Tycoon (Oligarkh) (2002) Crime Drama
6493,Alex and Emma (2003),Comedy Drama Romance,alex and emma (2003),Alex and Emma (2003) Comedy Drama Romance
6494,On_Line (a.k.a. On Line) (2002),Drama,on_line (a.k.a. on line) (2002),On_Line (a.k.a. On Line) (2002) Drama
6495,Experiment in Terror (1962),Crime Thriller,experiment in terror (1962),Experiment in Terror (1962) Crime Thriller
6496,Ecstasy (Éxtasis) (1996),Drama,ecstasy (éxtasis) (1996),Ecstasy (Éxtasis) (1996) Drama
6497,Is Paris Burning? (Paris brûle-t-il?) (1966),Drama War,is paris burning? (paris brûle-t-il?) (1966),Is Paris Burning? (Paris brûle-t-il?) (1966) Drama War
6498,Murphy's War (1971),War,murphy's war (1971),Murphy's War (1971) War
6499,Orphans of the Storm (1921),Drama,orphans of the storm (1921),Orphans of the Storm (1921) Drama
6500,"Satanic Rites of Dracula, The (1974)",Horror,"satanic rites of dracula, the (1974)","Satanic Rites of Dracula, The (1974) Horror"
6501,Strange Planet (1999),Comedy Romance,strange planet (1999),Strange Planet (1999) Comedy Romance
6502,28 Days Later (2002),Action Horror Sci-Fi,28 days later (2002),28 Days Later (2002) Action Horror Sci-Fi
6503,Charlie's Angels: Full Throttle (2003),Action Adventure Comedy Crime Thriller,charlie's angels: full throttle (2003),Charlie's Angels: Full Throttle (2003) Action Adventure Comedy Crime Thriller
6504,Gasoline (Benzina) (2001),Crime,gasoline (benzina) (2001),Gasoline (Benzina) (2001) Crime
6505,Ed and His Dead Mother (1993),Comedy Horror,ed and his dead mother (1993),Ed and His Dead Mother (1993) Comedy Horror
6506,Fulltime Killer (Chuen jik sat sau) (2001),Action Thriller,fulltime killer (chuen jik sat sau) (2001),Fulltime Killer (Chuen jik sat sau) (2001) Action Thriller
6507,Just a Little Harmless Sex (1999),Comedy Romance,just a little harmless sex (1999),Just a Little Harmless Sex (1999) Comedy Romance
6508,"Bank, The (2001)",Thriller,"bank, the (2001)","Bank, The (2001) Thriller"
6509,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),Drama Romance,ali: fear eats the soul (angst essen seele auf) (1974),Ali: Fear Eats the Soul (Angst essen Seele auf) (1974) Drama Romance
6510,"Bodies, Rest & Motion (1993)",Drama Romance,"bodies, rest & motion (1993)","Bodies, Rest & Motion (1993) Drama Romance"
6511,Jesus (1979),Drama,jesus (1979),Jesus (1979) Drama
6512,"Long Ships, The (1963)",Adventure,"long ships, the (1963)","Long Ships, The (1963) Adventure"
6513,Made for Each Other (1939),Comedy Drama Romance,made for each other (1939),Made for Each Other (1939) Comedy Drama Romance
6514,Ring of Terror (1962),Horror,ring of terror (1962),Ring of Terror (1962) Horror
6515,You Only Live Once (1937),Crime Film-Noir,you only live once (1937),You Only Live Once (1937) Crime Film-Noir
6516,Anastasia (1956),Drama,anastasia (1956),Anastasia (1956) Drama
6517,"Babe, The (1992)",Drama,"babe, the (1992)","Babe, The (1992) Drama"
6518,Flight of the Intruder (1991),Action War,flight of the intruder (1991),Flight of the Intruder (1991) Action War
6519,Fun with Dick and Jane (1977),Comedy,fun with dick and jane (1977),Fun with Dick and Jane (1977) Comedy
6520,Knights of the Round Table (1953),Adventure Drama,knights of the round table (1953),Knights of the Round Table (1953) Adventure Drama
6521,"Main Event, The (1979)",Comedy,"main event, the (1979)","Main Event, The (1979) Comedy"
6522,Man's Favorite Sport? (1964),Comedy,man's favorite sport? (1964),Man's Favorite Sport? (1964) Comedy
6523,Mr. Baseball (1992),Comedy Romance,mr. baseball (1992),Mr. Baseball (1992) Comedy Romance
6524,Never on Sunday (Pote tin Kyriaki) (1960),Comedy Drama,never on sunday (pote tin kyriaki) (1960),Never on Sunday (Pote tin Kyriaki) (1960) Comedy Drama
6525,Nuts (1987),Drama,nuts (1987),Nuts (1987) Drama
6526,Rhapsody in August (Hachi-gatsu no kyôshikyoku) (1991),Drama,rhapsody in august (hachi-gatsu no kyôshikyoku) (1991),Rhapsody in August (Hachi-gatsu no kyôshikyoku) (1991) Drama
6527,Scaramouche (1952),Adventure Romance,scaramouche (1952),Scaramouche (1952) Adventure Romance
6528,Start the Revolution Without Me (1970),Comedy,start the revolution without me (1970),Start the Revolution Without Me (1970) Comedy
6529,Strange Bedfellows (1965),Comedy,strange bedfellows (1965),Strange Bedfellows (1965) Comedy
6530,"Tenant, The (Locataire, Le) (1976)",Drama Horror Mystery Thriller,"tenant, the (locataire, le) (1976)","Tenant, The (Locataire, Le) (1976) Drama Horror Mystery Thriller"
6531,"Hour of the Pig, The (1993)",Crime Drama Mystery,"hour of the pig, the (1993)","Hour of the Pig, The (1993) Crime Drama Mystery"
6532,Up the Sandbox (1972),Comedy,up the sandbox (1972),Up the Sandbox (1972) Comedy
6533,"What's Up, Doc? (1972)",Comedy,"what's up, doc? (1972)","What's Up, Doc? (1972) Comedy"
6534,Hulk (2003),Action Adventure Sci-Fi,hulk (2003),Hulk (2003) Action Adventure Sci-Fi
6535,"Legally Blonde 2: Red, White & Blonde (2003)",Comedy,"legally blonde 2: red, white & blonde (2003)","Legally Blonde 2: Red, White & Blonde (2003) Comedy"
6536,Sinbad: Legend of the Seven Seas (2003),Adventure Animation Children Fantasy,sinbad: legend of the seven seas (2003),Sinbad: Legend of the Seven Seas (2003) Adventure Animation Children Fantasy
6537,Terminator 3: Rise of the Machines (2003),Action Adventure Sci-Fi,terminator 3: rise of the machines (2003),Terminator 3: Rise of the Machines (2003) Action Adventure Sci-Fi
6538,Swimming Pool (2003),Drama Mystery Thriller,swimming pool (2003),Swimming Pool (2003) Drama Mystery Thriller
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action Adventure Comedy Fantasy,pirates of the caribbean: the curse of the black pearl (2003),Pirates of the Caribbean: The Curse of the Black Pearl (2003) Action Adventure Comedy Fantasy
6540,Madame Satã (2002),Drama,madame satã (2002),Madame Satã (2002) Drama
6541,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Action Fantasy Sci-Fi,"league of extraordinary gentlemen, the (a.k.a. lxg) (2003)","League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003) Action Fantasy Sci-Fi"
6542,"Cuckoo, The (Kukushka) (2002)",Comedy Drama War,"cuckoo, the (kukushka) (2002)","Cuckoo, The (Kukushka) (2002) Comedy Drama War"
6543,"Holy Land, The (2001)",Drama,"holy land, the (2001)","Holy Land, The (2001) Drama"
6544,"Housekeeper, The (femme de ménage, Une) (2002)",Comedy Drama Romance,"housekeeper, the (femme de ménage, une) (2002)","Housekeeper, The (femme de ménage, Une) (2002) Comedy Drama Romance"
6545,I Capture the Castle (2003),Drama Romance,i capture the castle (2003),I Capture the Castle (2003) Drama Romance
6546,Km. 0 - Kilometer Zero (Kilómetro cero) (2000),Comedy Drama,km. 0 - kilometer zero (kilómetro cero) (2000),Km. 0 - Kilometer Zero (Kilómetro cero) (2000) Comedy Drama
6547,Northfork (2003),Drama Fantasy,northfork (2003),Northfork (2003) Drama Fantasy
6548,Bad Boys II (2003),Action Comedy Crime Thriller,bad boys ii (2003),Bad Boys II (2003) Action Comedy Crime Thriller
6549,How to Deal (2003),Comedy Drama Romance,how to deal (2003),How to Deal (2003) Comedy Drama Romance
6550,Johnny English (2003),Action Comedy Thriller,johnny english (2003),Johnny English (2003) Action Comedy Thriller
6551,"Anarchist Cookbook, The (2002)",Comedy Romance,"anarchist cookbook, the (2002)","Anarchist Cookbook, The (2002) Comedy Romance"
6552,Dirty Pretty Things (2002),Crime Drama Thriller,dirty pretty things (2002),Dirty Pretty Things (2002) Crime Drama Thriller
6553,"Embalmer, The (Imbalsamatore, L') (2002)",Drama,"embalmer, the (imbalsamatore, l') (2002)","Embalmer, The (Imbalsamatore, L') (2002) Drama"
6554,Garage Days (2002),Comedy Musical,garage days (2002),Garage Days (2002) Comedy Musical
6555,On the Run (2002),Crime Drama Thriller,on the run (2002),On the Run (2002) Crime Drama Thriller
6556,"Sea Is Watching, The (Umi wa miteita) (2002)",Romance,"sea is watching, the (umi wa miteita) (2002)","Sea Is Watching, The (Umi wa miteita) (2002) Romance"
6557,Born to Be Wild (1995),Adventure Children Comedy Drama,born to be wild (1995),Born to Be Wild (1995) Adventure Children Comedy Drama
6558,Curly Sue (1991),Comedy Drama,curly sue (1991),Curly Sue (1991) Comedy Drama
6559,Little Giants (1994),Children Comedy,little giants (1994),Little Giants (1994) Children Comedy
6560,Loose Cannons (1990),Action Comedy,loose cannons (1990),Loose Cannons (1990) Action Comedy
6561,"Mouse That Roared, The (1959)",Comedy War,"mouse that roared, the (1959)","Mouse That Roared, The (1959) Comedy War"
6562,Spencer's Mountain (1963),Comedy Drama,spencer's mountain (1963),Spencer's Mountain (1963) Comedy Drama
6563,Masked & Anonymous (2003),Comedy Drama,masked & anonymous (2003),Masked & Anonymous (2003) Comedy Drama
6564,Lara Croft Tomb Raider: The Cradle of Life (2003),Action Adventure Comedy Romance Thriller,lara croft tomb raider: the cradle of life (2003),Lara Croft Tomb Raider: The Cradle of Life (2003) Action Adventure Comedy Romance Thriller
6565,Seabiscuit (2003),Drama,seabiscuit (2003),Seabiscuit (2003) Drama
6566,Spy Kids 3-D: Game Over (2003),Action Adventure Children,spy kids 3-d: game over (2003),Spy Kids 3-D: Game Over (2003) Action Adventure Children
6567,Buffalo Soldiers (2001),Comedy Crime Drama War,buffalo soldiers (2001),Buffalo Soldiers (2001) Comedy Crime Drama War
6568,Camp (2003),Comedy Musical,camp (2003),Camp (2003) Comedy Musical
6569,Hotel (2001),Comedy,hotel (2001),Hotel (2001) Comedy
6570,"Lucía, Lucía (Hija del caníbal, La) (2003)",Comedy Drama,"lucía, lucía (hija del caníbal, la) (2003)","Lucía, Lucía (Hija del caníbal, La) (2003) Comedy Drama"
6571,"Mondays in the Sun (Lunes al sol, Los) (2002)",Drama,"mondays in the sun (lunes al sol, los) (2002)","Mondays in the Sun (Lunes al sol, Los) (2002) Drama"
6572,Scorched (2003),Comedy Crime,scorched (2003),Scorched (2003) Comedy Crime
6573,Avanti! (1972),Comedy Drama,avanti! (1972),Avanti! (1972) Comedy Drama
6574,Eve of Destruction (1991),Action Sci-Fi Thriller,eve of destruction (1991),Eve of Destruction (1991) Action Sci-Fi Thriller
6575,Gator (1976),Action Drama,gator (1976),Gator (1976) Action Drama
6576,Juggernaut (1974),Action Thriller,juggernaut (1974),Juggernaut (1974) Action Thriller
6577,Kickboxer 2: The Road Back (1991),Action Drama,kickboxer 2: the road back (1991),Kickboxer 2: The Road Back (1991) Action Drama
6578,"Kiss Me, Stupid (1964)",Comedy,"kiss me, stupid (1964)","Kiss Me, Stupid (1964) Comedy"
6579,"One, Two, Three (1961)",Comedy,"one, two, three (1961)","One, Two, Three (1961) Comedy"
6580,Possible Loves (Amores Possíveis) (2000),Comedy Romance,possible loves (amores possíveis) (2000),Possible Loves (Amores Possíveis) (2000) Comedy Romance
6581,"Private Life of Sherlock Holmes, The (1970)",Comedy Drama Mystery,"private life of sherlock holmes, the (1970)","Private Life of Sherlock Holmes, The (1970) Comedy Drama Mystery"
6582,Remo Williams: The Adventure Begins (1985),Action Comedy Crime Thriller,remo williams: the adventure begins (1985),Remo Williams: The Adventure Begins (1985) Action Comedy Crime Thriller
6583,"Blood of Heroes, The (Salute of the Jugger, The) (1989)",Action Sci-Fi,"blood of heroes, the (salute of the jugger, the) (1989)","Blood of Heroes, The (Salute of the Jugger, The) (1989) Action Sci-Fi"
6584,"What's Up, Tiger Lily? (1966)",Adventure Comedy Crime Thriller,"what's up, tiger lily? (1966)","What's Up, Tiger Lily? (1966) Adventure Comedy Crime Thriller"
6585,White Lightning (1973),Action Crime Drama,white lightning (1973),White Lightning (1973) Action Crime Drama
6586,American Wedding (American Pie 3) (2003),Comedy,american wedding (american pie 3) (2003),American Wedding (American Pie 3) (2003) Comedy
6587,Gigli (2003),Comedy Crime Romance,gigli (2003),Gigli (2003) Comedy Crime Romance
6588,And Now... Ladies and Gentlemen... (2002),Romance Thriller,and now... ladies and gentlemen... (2002),And Now... Ladies and Gentlemen... (2002) Romance Thriller
6589,Boys Life 4: Four Play (2003),Comedy Drama,boys life 4: four play (2003),Boys Life 4: Four Play (2003) Comedy Drama
6590,I'll Be There (2003),Comedy Musical Romance,i'll be there (2003),I'll Be There (2003) Comedy Musical Romance
6591,"Magdalene Sisters, The (2002)",Drama,"magdalene sisters, the (2002)","Magdalene Sisters, The (2002) Drama"
